id,name,league_id,created_at,updated_at
79,Burton Albion,8,2011-09-21 16:20:07.175541,2011-09-21 16:20:07.175541
80,Cheltenham Town,8,2011-09-21 16:20:20.452171,2011-09-21 16:20:20.452171
81,Crawley Town,7,2011-09-21 16:20:28.157739,2012-07-30 06:26:50.079006
82,Crewe Alexandra,7,2011-09-21 16:20:49.662468,2012-07-30 06:29:35.201022
83,Dagenham & Redbridge,8,2011-09-21 16:21:01.726791,2011-09-27 19:38:45.592055
84,Gillingham,8,2011-09-21 16:21:15.104514,2011-10-06 19:03:07.257608
85,Hereford United,9,2011-09-21 16:21:34.556567,2012-07-30 06:31:02.970482
86,Macclesfield Town,9,2011-09-21 16:21:52.05404,2012-07-30 06:31:46.227612
87,Morecambe,8,2011-09-21 16:22:00.218584,2011-10-12 17:17:09.649788
88,Northampton Town,8,2011-09-21 16:22:15.5632,2011-09-29 07:26:24.34939
89,Oxford United,8,2011-09-21 16:22:24.970159,2011-10-13 17:22:39.984505
90,Plymouth Argyle,8,2011-09-21 16:22:40.858639,2011-10-02 15:41:59.611541
91,Port Vale,8,2011-09-21 16:22:48.063616,2011-09-21 16:22:48.063616
92,Rotherham United,8,2011-09-21 16:23:03.761202,2011-10-06 19:00:52.390507
93,Shrewsbury Town,7,2011-09-21 16:23:19.539221,2012-07-30 06:27:55.776885
94,Southend United,8,2011-09-21 16:23:33.097566,2011-10-14 16:22:45.795125
95,Swindon Town,7,2011-09-21 16:23:41.728523,2012-07-30 06:28:08.333829
96,Torquay United,8,2011-09-21 16:23:54.389464,2011-09-28 07:24:49.866299
97,Lincoln City,9,2011-09-26 07:31:17.83741,2011-09-26 07:31:17.83741
98,Boston United,10,2011-09-26 16:32:55.970553,2011-09-26 16:35:01.502088
99,Darlington,14,2011-09-26 16:33:14.729966,2012-07-30 06:47:24.852886
100,Luton Town,9,2011-09-27 13:57:53.805708,2011-09-27 13:59:40.648504
101,Welling United,11,2011-09-28 18:53:38.697477,2012-07-30 07:37:39.546704
102,Redbridge FC,13,2011-09-28 18:53:52.961068,2011-09-28 18:53:52.961068
103,Halifax Town,10,2011-09-29 07:16:07.989729,2012-07-30 06:49:39.184555
104,Grimsby Town,9,2011-09-29 09:38:22.43228,2011-09-29 09:39:51.574074
105,Rushden & Diamonds,14,2011-09-29 16:57:43.916977,2011-09-29 16:59:52.996968
106,Heart of Midlothian,16,2011-09-29 17:08:10.151788,2011-09-29 17:11:15.312277
107,Celtic,16,2011-09-29 17:08:34.657414,2011-10-13 07:18:11.302214
108,Wrexham,9,2011-10-02 14:00:33.866157,2011-10-02 14:01:28.208027
109,Worcester City,10,2011-10-03 10:03:35.692671,2011-10-03 10:05:39.480022
110,Scarborough,14,2011-10-03 10:03:52.881162,2011-10-03 10:03:52.881162
112,Bromley FC,11,2011-10-06 18:38:54.488838,2011-10-06 18:41:20.764514
113,Carsharlton Athletic,17,2011-10-06 18:39:14.762079,2011-10-06 18:39:14.762079
114,Hyde United,9,2011-10-06 18:47:36.475637,2012-07-30 06:49:58.06157
115,Vauxhall Motors,10,2011-10-06 18:47:56.393811,2011-10-06 18:47:56.393811
116,Mansfield Town,9,2011-10-06 19:06:39.325869,2011-10-06 19:08:35.254263
117,Ebbsfleet United,9,2011-10-06 19:11:25.99331,2011-10-06 19:15:53.385234
118,Workington,10,2011-10-07 17:17:39.353405,2011-10-07 17:19:48.584286
119,Hinckley United,10,2011-10-07 17:17:53.448207,2011-10-07 17:17:53.448207
120,Gainsborough Trinity,10,2011-10-07 17:27:32.025461,2011-10-07 17:29:49.3958
121,Southport,9,2011-10-07 17:27:54.938383,2011-10-07 17:27:54.938383
122,Atherton Colleries,19,2011-10-07 17:33:46.406883,2011-10-07 17:35:51.21372
123,Ramsbottom United,19,2011-10-07 17:33:58.968222,2011-10-07 17:33:58.968222
124,York City,8,2011-10-08 17:49:51.161393,2012-07-30 06:32:09.363193
